TF_ID	Gene_ID	Family	rapdb
LOC_Os01g04750.1	LOC_Os01g04750	RAV	Os01g0140700
LOC_Os01g04800.1	LOC_Os01g04800	RAV	Os01g0141000
LOC_Os05g47650.1	LOC_Os05g47650	RAV	Os05g0549800
LOC_Os01g49830.1	LOC_Os01g49830	RAV	Os01g0693400
LOC_Os01g01290.1	LOC_Os01g01290	NF-YC	Os01g0102400
LOC_Os01g01430.1	LOC_Os01g01430	NAC	Os01g0104200
LOC_Os01g01470.1	LOC_Os01g01470	NAC	Os01g0104500
LOC_Os01g01600.1	LOC_Os01g01600	bHLH	Os01g0105700
LOC_Os01g01840.1	LOC_Os01g01840	bHLH	Os01g0108400
LOC_Os01g01840.1	LOC_Os01g01840	bHLH	Os01g0108500
LOC_Os01g01870.1	LOC_Os01g01870	bHLH	Os01g0108600
LOC_Os01g02110.1	LOC_Os01g02110	bHLH	Os01g0111500
LOC_Os01g03890.1	LOC_Os01g03890	LBD	Os01g0129600
LOC_Os01g06550.1	LOC_Os01g06550	NF-X1	Os01g0158900
LOC_Os01g06640.1	LOC_Os01g06640	bHLH	Os01g0159800
LOC_Os01g06640.2	LOC_Os01g06640	bHLH	Os01g0159800
LOC_Os01g06852.1	LOC_Os01g06852	FAR1	None
LOC_Os01g07480.1	LOC_Os01g07480	LBD	Os01g0169400
LOC_Os01g07480.2	LOC_Os01g07480	LBD	Os01g0169400
LOC_Os01g07880.1	LOC_Os01g07880	bZIP	Os01g0174000
LOC_Os01g08180.1	LOC_Os01g08180	BES1	Os01g0176900
LOC_Os01g08710.1	LOC_Os01g08710	WRKY	Os01g0182700
LOC_Os01g08710.2	LOC_Os01g08710	WRKY	Os01g0182700
LOC_Os01g08790.1	LOC_Os01g08790	NF-YC	Os01g0183400
LOC_Os01g09080.1	LOC_Os01g09080	WRKY	Os01g0185900
LOC_Os01g09100.1	LOC_Os01g09100	WRKY	Os01g0186000
LOC_Os01g09550.1	LOC_Os01g09550	NAC	Os01g0191300
LOC_Os01g09550.2	LOC_Os01g09550	NAC	Os01g0191300
LOC_Os01g09550.3	LOC_Os01g09550	NAC	Os01g0191300
LOC_Os01g09550.4	LOC_Os01g09550	NAC	Os01g0191300
