v3id	name	type	v4id
GRMZM2G048582	ZmNLP17	Nin-like	Zm00001d006293
GRMZM2G130374	ZmWRKY3	WRKY	Zm00001d030969
GRMZM2G398506	ZmWRKY1	WRKY	Zm00001d021947
GRMZM2G098784	ZmGRAS1	GRAS	Zm00001d047813
GRMZM2G151689	ZmC3H18	C3H	Zm00001d046740
AC198937.4_FG005	ZmNAC37	NAC	Zm00001d050410
GRMZM2G105834	ZmHB62	HD-ZIP	Zm00001d047995
GRMZM2G111232	ZmOrphan1	NA	Zm00001d002369
GRMZM2G161435	ZmHB2	TALE	Zm00001d016298
GRMZM2G088309	ZmYAB2	YABBY	Zm00001d028216
GRMZM2G102560	ZmOrphan2	NA	Zm00001d016474
GRMZM2G050851	ZmEREB167	ERF	Zm00001d032095
GRMZM2G099862	ZmGRF15	GRF	Zm00001d007465
GRMZM2G134717	ZmNAC1	NAC	Zm00001d011555
GRMZM2G180568	ZmTCP38	TCP	Zm00001d022256
GRMZM2G123876	ZmC3H30	NA	Zm00001d034710
GRMZM2G134716	ZmOrphan3	NA	Zm00001d021528
AC155434.2_FG006	ZmDOF1	Dof	Zm00001d022525
AC155434.2_FG005	ZmGLK59	G2-like	Zm00001d022526
GRMZM2G346113	ZmC3H50	NA	Zm00001d052385
GRMZM2G081919	ZmMYB15	MYB	Zm00001d042910
GRMZM2G110135	ZmMYB164	MYB	Zm00001d031270
GRMZM2G079632	ZmNAC4	NAC	Zm00001d019207
GRMZM2G027253	ZmABI37	B3	Zm00001d035903
GRMZM2G110131	ZmZIM22	NA	Zm00001d028313
GRMZM2G103647	ZmbZIP17	bZIP	Zm00001d046937
GRMZM2G384386	ZmEREB201	ERF	Zm00001d021892
GRMZM2G131442	ZmMYB4	MYB	Zm00001d048647
GRMZM2G179366	ZmBBR1	BBR-BPC	Zm00001d031572
GRMZM2G018589	ZmMADS41	MIKC_MADS	Zm00001d042591
GRMZM2G438260	ZmHB96	HD-ZIP	Zm00001d004230
GRMZM2G159134	ZmbZIP102	bZIP	Zm00001d043117
GRMZM2G488465	ZmOrphan4	NA	Zm00001d052781
GRMZM2G026157	ZmCA2P1	NF-YA	Zm00001d013501
GRMZM2G161411	ZmWRKY6	WRKY	Zm00001d013630
GRMZM2G333083	ZmGLK2	G2-like	Zm00001d046174
GRMZM2G129154	ZmGRAS2	GRAS	Zm00001d011881
GRMZM2G142999	ZmABI38	B3	Zm00001d047359
GRMZM2G418031	ZmOrphan5	NA	Zm00001d014165
GRMZM2G025062	ZmEREB200	ERF	Zm00001d022461
GRMZM2G471600	ZmGLK3	G2-like	Zm00001d010280
GRMZM2G111204	ZmHB131	HB-other	Zm00001d005584
GRMZM2G039889	ZmC3H46	C3H	Zm00001d011355
GRMZM2G178261	ZmGRF1	GRF	Zm00001d033876
GRMZM2G363052	ZmEREB94	ERF	Zm00001d020043
GRMZM2G056120	ZmARF11	ARF	Zm00001d043431
GRMZM2G129147	ZmGRF5	GRF	Zm00001d026240
GRMZM2G582893	ZmCA2P2	NF-YA	NA
GRMZM2G354384	ZmWRKY7	WRKY	Zm00001d044315
GRMZM2G306357	ZmC3H2	C3H	Zm00001d044260
GRMZM2G110109	ZmARID3	NA	Zm00001d051632
GRMZM2G159119	ZmGLK4	G2-like	Zm00001d023402
GRMZM2G466044	ZmEREB195	ERF	Zm00001d017462
GRMZM2G017470	ZmDOF27	Dof	Zm00001d034651
GRMZM2G122750	ZmHB3	HB-other	Zm00001d039002
GRMZM2G039870	ZmEREB112	ERF	Zm00001d030513
GRMZM2G055024	ZmTCP35	TCP	Zm00001d048674
GRMZM2G355469	ZmbHLH102	bHLH	Zm00001d025462
GRMZM2G077428	ZmOrphan6	NA	Zm00001d033082
GRMZM2G038783	ZmCOL13	CO-like	Zm00001d046925
GRMZM2G009892	ZmNAC32	NAC	Zm00001d003414
GRMZM2G047448	ZmHB67	WOX	Zm00001d001948
GRMZM2G065496	ZmABI46	B3	Zm00001d030907
GRMZM2G169580	ZmTHX20	Trihelix	Zm00001d017420
AC193767.3_FG003	ZmABI10	B3	Zm00001d026694
GRMZM2G018553	ZmNAC6	NAC	Zm00001d013003
GRMZM2G409343	ZmOrphan7	NA	Zm00001d011197
GRMZM2G328742	ZmABI40	B3	Zm00001d052591
GRMZM2G016370	ZmGLK5	G2-like	Zm00001d023411
GRMZM2G176063	ZmDOF46	Dof	Zm00001d041549
GRMZM2G000603	ZmOrphan8	NA	Zm00001d035263
GRMZM2G015281	ZmEREB4	ERF	Zm00001d028524
GRMZM2G102514	ZmBZR10	BES1	Zm00001d021927
GRMZM2G117193	ZmGLK6	G2-like	Zm00001d032190
GRMZM2G171852	ZmDOF22	Dof	Zm00001d017575
GRMZM2G179325	ZmGRAS3	GRAS	Zm00001d030744
GRMZM2G142962	ZmHB129	HD-ZIP	Zm00001d031745
GRMZM2G170766	ZmOrphan9	NA	Zm00001d010366
GRMZM2G181605	ZmNAC2	NAC	Zm00001d022517
GRMZM2G149347	ZmC3H3	C3H	Zm00001d039101
GRMZM2G428470	ZmTHX28	Trihelix	Zm00001d000045
GRMZM2G097638	ZmMYB65	MYB	Zm00001d026204
GRMZM2G097636	ZmMYB5	MYB	Zm00001d026203
GRMZM2G479760	ZmbZIP4	bZIP	Zm00001d018178
GRMZM2G375675	ZmNLP4	Nin-like	Zm00001d009017
AC234520.1_FG003	ZmGLK9	G2-like	Zm00001d030891
GRMZM2G384339	ZmHSF22	HSF	Zm00001d012823
GRMZM2G067654	ZmbHLH10	bHLH	Zm00001d045107
GRMZM2G172936	ZmEREB6	ERF	Zm00001d002744
GRMZM2G169564	ZmWRKY9	WRKY	Zm00001d005056
GRMZM5G847287	ZmMYBR116	MYB_related	Zm00001d006134
GRMZM2G065478	ZmABI11	B3	Zm00001d030908
GRMZM2G139583	ZmOrphan10	NA	Zm00001d013967
AC197764.4_FG003	ZmZIM30	NA	Zm00001d014250
GRMZM2G358701	ZmbZIP5	bZIP	Zm00001d025638
GRMZM2G166297	ZmOrphan11	NA	Zm00001d012401
GRMZM2G119359	ZmOrphan12	NA	Zm00001d045533
GRMZM2G073047	ZmEREB39	ERF	Zm00001d046292
GRMZM2G458437	ZmEREB183	ERF	Zm00001d007119
GRMZM2G147152	ZmMYBR73	MYB_related	Zm00001d004681
GRMZM5G821755	ZmZHD21	ZF-HD	Zm00001d041780
GRMZM2G025014	ZmC3H4	NA	Zm00001d007784
GRMZM2G094352	ZmbZIP107	bZIP	Zm00001d024160
GRMZM2G141859	ZmOrphan13	NA	Zm00001d011062
GRMZM2G101405	ZmWRKY73	WRKY	Zm00001d043663
GRMZM2G171830	ZmZIM8	NA	Zm00001d004277
AC233960.1_FG005	ZmbHLH122	bHLH	Zm00001d017724
GRMZM2G100318	ZmARR7	ARR-B	Zm00001d012128
GRMZM2G020805	ZmTCP43	TCP	Zm00001d007868
AC233960.1_FG003	ZmGLK11	G2-like	Zm00001d017726
GRMZM2G307400	ZmHB44	HD-ZIP	Zm00001d014629
AC155624.2_FG006	ZmOrphan14	NA	Zm00001d027570
GRMZM2G438202	ZmEREB205	ERF	Zm00001d026271
GRMZM2G045236	ZmbZIP34	bZIP	Zm00001d038189
GRMZM2G074124	ZmYAB6	YABBY	Zm00001d013662
GRMZM2G008764	ZmOrphan15	NA	Zm00001d043691
GRMZM2G117164	ZmHB41	HD-ZIP	Zm00001d017422
GRMZM2G025002	ZmGATA1	GATA	Zm00001d005005
GRMZM2G037650	ZmMYB167	MYB	Zm00001d032032
GRMZM2G142932	ZmbHLH80	bHLH	Zm00001d006578
GRMZM2G065451	ZmSBP20	SBP	Zm00001d053890
GRMZM2G401835	ZmGLK12	G2-like	Zm00001d036802
GRMZM2G086768	ZmNAC8	NAC	Zm00001d037315
GRMZM2G352159	ZmARF8	ARF	Zm00001d041056
AC207342.3_FG001	ZmNLP5	Nin-like	Zm00001d011142
GRMZM2G039828	ZmbZIP6	bZIP	Zm00001d039658
GRMZM2G137387	ZmMADS20	MIKC_MADS	Zm00001d018587
GRMZM2G085678	ZmEREB46	ERF	Zm00001d015759
GRMZM2G165188	ZmbHLH38	bHLH	Zm00001d048786
GRMZM5G822829	ZmbHLH1	bHLH	Zm00001d026147
GRMZM5G852801	ZmBZR2	BES1	Zm00001d039439
GRMZM2G068710	ZmC2H35	C2H2	Zm00001d023558
GRMZM2G028980	ZmARF16	ARF	Zm00001d053819
GRMZM2G067624	ZmSBP29	SBP	Zm00001d021573
GRMZM2G137380	ZmbHLH50	bHLH	Zm00001d027497
GRMZM2G148220	ZmMADS48	MIKC_MADS	Zm00001d031591
GRMZM2G378907	ZmTUB11	NA	Zm00001d029165
GRMZM2G084583	ZmMYB38	MYB	Zm00001d032024
GRMZM2G171818	ZmbHLH41	bHLH	Zm00001d007311
GRMZM2G018508	ZmOrphan16	NA	Zm00001d018859
GRMZM2G417597	ZmbHLH6	bHLH	Zm00001d006022
GRMZM2G160971	ZmEREB208	ERF	Zm00001d044004
GRMZM2G036554	ZmbHLH153	bHLH	Zm00001d024781
AC212823.4_FG003	ZmMADS65	M-type_MADS	Zm00001d016650
